episode: 0 , total_reward_episode: 1 , reward: 1
episode: 1 , total_reward_episode: -1 , reward: 0
episode: 2 , total_reward_episode: 1 , reward: 0.333333
episode: 3 , total_reward_episode: -1 , reward: 0
episode: 4 , total_reward_episode: -1 , reward: -0.2
episode: 5 , total_reward_episode: -1 , reward: -0.333333
episode: 6 , total_reward_episode: -1 , reward: -0.428571
episode: 7 , total_reward_episode: -1 , reward: -0.5
episode: 8 , total_reward_episode: -1 , reward: -0.555556
episode: 9 , total_reward_episode: 1 , reward: -0.4
episode: 10 , total_reward_episode: -1 , reward: -0.454545
episode: 11 , total_reward_episode: -1 , reward: -0.5
episode: 12 , total_reward_episode: -1 , reward: -0.538462
episode: 13 , total_reward_episode: -1 , reward: -0.571429
episode: 14 , total_reward_episode: -1 , reward: -0.6
episode: 15 , total_reward_episode: 1 , reward: -0.5
episode: 16 , total_reward_episode: -1 , reward: -0.529412
episode: 17 , total_reward_episode: 1 , reward: -0.444444
episode: 18 , total_reward_episode: 1 , reward: -0.368421
episode: 19 , total_reward_episode: 1 , reward: -0.3
episode: 20 , total_reward_episode: -1 , reward: -0.333333
episode: 21 , total_reward_episode: 1 , reward: -0.272727
episode: 22 , total_reward_episode: 1 , reward: -0.217391
episode: 23 , total_reward_episode: -1 , reward: -0.25
episode: 24 , total_reward_episode: -1 , reward: -0.28
episode: 25 , total_reward_episode: -1 , reward: -0.307692
episode: 26 , total_reward_episode: -1 , reward: -0.333333
episode: 27 , total_reward_episode: -1 , reward: -0.357143
episode: 28 , total_reward_episode: -1 , reward: -0.37931
episode: 29 , total_reward_episode: -1 , reward: -0.4
episode: 30 , total_reward_episode: 1 , reward: -0.354839
episode: 31 , total_reward_episode: 1 , reward: -0.3125
episode: 32 , total_reward_episode: 1 , reward: -0.272727
episode: 33 , total_reward_episode: -1 , reward: -0.294118
episode: 34 , total_reward_episode: -1 , reward: -0.314286
episode: 35 , total_reward_episode: 1 , reward: -0.277778
episode: 36 , total_reward_episode: -1 , reward: -0.297297
episode: 37 , total_reward_episode: 1 , reward: -0.263158
episode: 38 , total_reward_episode: -1 , reward: -0.282051
episode: 39 , total_reward_episode: -1 , reward: -0.3
episode: 40 , total_reward_episode: 1 , reward: -0.268293
episode: 41 , total_reward_episode: -1 , reward: -0.285714
episode: 42 , total_reward_episode: -1 , reward: -0.302326
episode: 43 , total_reward_episode: 1 , reward: -0.272727
episode: 44 , total_reward_episode: -1 , reward: -0.288889
episode: 45 , total_reward_episode: -1 , reward: -0.304348
episode: 46 , total_reward_episode: 1 , reward: -0.276596
episode: 47 , total_reward_episode: -1 , reward: -0.291667
episode: 48 , total_reward_episode: 1 , reward: -0.265306
episode: 49 , total_reward_episode: -1 , reward: -0.28
episode: 50 , total_reward_episode: -1 , reward: -0.294118
episode: 51 , total_reward_episode: -1 , reward: -0.307692
episode: 52 , total_reward_episode: 1 , reward: -0.283019
episode: 53 , total_reward_episode: -1 , reward: -0.296296
episode: 54 , total_reward_episode: -1 , reward: -0.309091
episode: 55 , total_reward_episode: -1 , reward: -0.321429
episode: 56 , total_reward_episode: 1 , reward: -0.298246
episode: 57 , total_reward_episode: -1 , reward: -0.310345
episode: 58 , total_reward_episode: -1 , reward: -0.322034
episode: 59 , total_reward_episode: -1 , reward: -0.333333
episode: 60 , total_reward_episode: -1 , reward: -0.344262
episode: 61 , total_reward_episode: -1 , reward: -0.354839
episode: 62 , total_reward_episode: 1 , reward: -0.333333
episode: 63 , total_reward_episode: -1 , reward: -0.34375
episode: 64 , total_reward_episode: -1 , reward: -0.353846
episode: 65 , total_reward_episode: 1 , reward: -0.333333
episode: 66 , total_reward_episode: -1 , reward: -0.343284
episode: 67 , total_reward_episode: -1 , reward: -0.352941
episode: 68 , total_reward_episode: -1 , reward: -0.362319
episode: 69 , total_reward_episode: -1 , reward: -0.371429
episode: 70 , total_reward_episode: -1 , reward: -0.380282
episode: 71 , total_reward_episode: -1 , reward: -0.388889
episode: 72 , total_reward_episode: 1 , reward: -0.369863
episode: 73 , total_reward_episode: -1 , reward: -0.378378
episode: 74 , total_reward_episode: -1 , reward: -0.386667
episode: 75 , total_reward_episode: 1 , reward: -0.368421
episode: 76 , total_reward_episode: -1 , reward: -0.376623
episode: 77 , total_reward_episode: -1 , reward: -0.384615
episode: 78 , total_reward_episode: 1 , reward: -0.367089
episode: 79 , total_reward_episode: -1 , reward: -0.375
episode: 80 , total_reward_episode: 1 , reward: -0.358025
episode: 81 , total_reward_episode: -1 , reward: -0.365854
episode: 82 , total_reward_episode: -1 , reward: -0.373494
episode: 83 , total_reward_episode: -1 , reward: -0.380952
episode: 84 , total_reward_episode: -1 , reward: -0.388235
episode: 85 , total_reward_episode: -1 , reward: -0.395349
episode: 86 , total_reward_episode: -1 , reward: -0.402299
episode: 87 , total_reward_episode: -1 , reward: -0.409091
episode: 88 , total_reward_episode: -1 , reward: -0.41573
episode: 89 , total_reward_episode: -1 , reward: -0.422222
episode: 90 , total_reward_episode: -1 , reward: -0.428571
episode: 91 , total_reward_episode: -1 , reward: -0.434783
episode: 92 , total_reward_episode: -1 , reward: -0.44086
episode: 93 , total_reward_episode: 1 , reward: -0.425532
episode: 94 , total_reward_episode: 1 , reward: -0.410526
episode: 95 , total_reward_episode: -1 , reward: -0.416667
episode: 96 , total_reward_episode: -1 , reward: -0.42268
episode: 97 , total_reward_episode: 1 , reward: -0.408163
episode: 98 , total_reward_episode: -1 , reward: -0.414141
episode: 99 , total_reward_episode: -1 , reward: -0.42
episode: 100 , total_reward_episode: -1 , reward: -0.425743
episode: 101 , total_reward_episode: -1 , reward: -0.431373
episode: 102 , total_reward_episode: -1 , reward: -0.436893
episode: 103 , total_reward_episode: 1 , reward: -0.423077
episode: 104 , total_reward_episode: 1 , reward: -0.409524
episode: 105 , total_reward_episode: 1 , reward: -0.396226
episode: 106 , total_reward_episode: 1 , reward: -0.383178
episode: 107 , total_reward_episode: 1 , reward: -0.37037
episode: 108 , total_reward_episode: -1 , reward: -0.376147
episode: 109 , total_reward_episode: -1 , reward: -0.381818
episode: 110 , total_reward_episode: -1 , reward: -0.387387
episode: 111 , total_reward_episode: -1 , reward: -0.392857
episode: 112 , total_reward_episode: 1 , reward: -0.380531
episode: 113 , total_reward_episode: -1 , reward: -0.385965
episode: 114 , total_reward_episode: -1 , reward: -0.391304
episode: 115 , total_reward_episode: 1 , reward: -0.37931
episode: 116 , total_reward_episode: -1 , reward: -0.384615
episode: 117 , total_reward_episode: -1 , reward: -0.389831
episode: 118 , total_reward_episode: 1 , reward: -0.378151
episode: 119 , total_reward_episode: 1 , reward: -0.366667
episode: 120 , total_reward_episode: 1 , reward: -0.355372
episode: 121 , total_reward_episode: 1 , reward: -0.344262
episode: 122 , total_reward_episode: -1 , reward: -0.349593
episode: 123 , total_reward_episode: 1 , reward: -0.33871
episode: 124 , total_reward_episode: 1 , reward: -0.328
episode: 125 , total_reward_episode: 1 , reward: -0.31746
episode: 126 , total_reward_episode: 1 , reward: -0.307087
episode: 127 , total_reward_episode: -1 , reward: -0.3125
episode: 128 , total_reward_episode: -1 , reward: -0.317829
episode: 129 , total_reward_episode: -1 , reward: -0.323077
episode: 130 , total_reward_episode: 1 , reward: -0.312977
episode: 131 , total_reward_episode: -1 , reward: -0.318182
episode: 132 , total_reward_episode: -1 , reward: -0.323308
episode: 133 , total_reward_episode: -1 , reward: -0.328358
episode: 134 , total_reward_episode: -1 , reward: -0.333333
episode: 135 , total_reward_episode: -1 , reward: -0.338235
episode: 136 , total_reward_episode: -1 , reward: -0.343066
episode: 137 , total_reward_episode: -1 , reward: -0.347826
episode: 138 , total_reward_episode: -1 , reward: -0.352518
episode: 139 , total_reward_episode: 1 , reward: -0.342857
episode: 140 , total_reward_episode: 1 , reward: -0.333333
episode: 141 , total_reward_episode: -1 , reward: -0.338028
episode: 142 , total_reward_episode: -1 , reward: -0.342657
episode: 143 , total_reward_episode: -1 , reward: -0.347222
episode: 144 , total_reward_episode: -1 , reward: -0.351724
episode: 145 , total_reward_episode: -1 , reward: -0.356164
episode: 146 , total_reward_episode: 1 , reward: -0.346939
episode: 147 , total_reward_episode: -1 , reward: -0.351351
episode: 148 , total_reward_episode: 1 , reward: -0.342282
episode: 149 , total_reward_episode: 1 , reward: -0.333333
episode: 150 , total_reward_episode: 1 , reward: -0.324503
episode: 151 , total_reward_episode: -1 , reward: -0.328947
episode: 152 , total_reward_episode: 1 , reward: -0.320261
episode: 153 , total_reward_episode: -1 , reward: -0.324675
episode: 154 , total_reward_episode: 1 , reward: -0.316129
episode: 155 , total_reward_episode: -1 , reward: -0.320513
episode: 156 , total_reward_episode: -1 , reward: -0.324841
episode: 157 , total_reward_episode: -1 , reward: -0.329114
episode: 158 , total_reward_episode: -1 , reward: -0.333333
episode: 159 , total_reward_episode: -1 , reward: -0.3375
episode: 160 , total_reward_episode: -1 , reward: -0.341615
episode: 161 , total_reward_episode: 1 , reward: -0.333333
episode: 162 , total_reward_episode: -1 , reward: -0.337423
episode: 163 , total_reward_episode: -1 , reward: -0.341463
episode: 164 , total_reward_episode: 1 , reward: -0.333333
episode: 165 , total_reward_episode: 1 , reward: -0.325301
episode: 166 , total_reward_episode: -1 , reward: -0.329341
episode: 167 , total_reward_episode: -1 , reward: -0.333333
episode: 168 , total_reward_episode: -1 , reward: -0.337278
